words,pos,dfns
adventure,noun," a bold, usually risky undertaking; hazardous action of uncertain outcome."
adventure,noun, a commercial or financial speculation of any kind; venture.
adventure,noun, Obsolete. 
adventure,noun, to risk or hazard.
adventure,noun, to take the chance of; dare.
adventure,noun, to venture to say or utter:
adventure,noun, to take the risk involved.
adventure,noun, to venture; hazard.
advertise,verb (used with object)," to announce or praise (a product, service, etc.) in some public medium of communication in order to induce people to buy or use it:"
advertise,verb (used with object)," to give information to the public about; announce publicly in a newspaper, on radio or television, etc.:"
advertise,verb (used with object)," to call attention to, in a boastful or ostentatious manner:"
advertise,verb (used with object)," Obsolete. to give notice, advice, or information to; inform:"
advertise,verb (used with object), Obsolete. to admonish; warn.
advertise,verb (used with object)," to ask for something by placing a notice in a newspaper, over radio or television, etc.:"
advertise,verb (used with object)," to offer goods for sale or rent, solicit funds, etc., by means of advertisements:"
advertise,verb (used with object), Cards. 
advertisement,noun," a paid announcement, as of goods for sale, in newspapers or magazines, on radio or television, or on the internet."
advertisement,noun," a public notice, especially in print."
advertisement,noun, the action of making generally known; a calling to the attention of the public:
advertising,noun," the act or practice of calling public attention to one's product, service, need, etc., especially by paid announcements in newspapers and magazines, over radio or television, on billboards, etc.:"
advertising,noun, paid announcements; advertisements.
advertising,noun," the profession of planning, designing, and writing advertisements."
advice,noun," an opinion or recommendation offered as a guide to action, conduct, etc.:"
advice,noun," a communication, especially from a distance, containing information:"
advice,noun," an official notification, especially one pertaining to a business agreement:"
advise,verb (used with object), to give counsel to; offer an opinion or suggestion as worth following:
advise,verb (used with object)," to recommend as desirable, wise, prudent, etc.:"
advise,verb (used with object)," to give (a person, group, etc.) information or notice (often followed by of ):"
advise,verb (used with object), to take counsel; consult (usually followed by with ):
advise,verb (used with object)," to offer counsel; give advice or recommend particular actions, conduct, etc.:"
affair,noun, anything done or to be done; anything requiring action or effort; business; concern:
affair,noun," affairs, matters of commercial or public interest or concern; the transactions of public or private business or finance:"
affair,noun," an event or a performance; a particular action, operation, or proceeding:"
affair,noun," thing; matter (applied to anything made or existing, usually with a descriptive or qualifying term):"
affair,noun," a private or personal concern; a special function, business, or duty:"
affair,noun," an intense amorous relationship, usually of short duration."
affair,noun," an event or happening that occasions or arouses notoriety, dispute, and often public scandal; incident:"
affair,noun," a party, social gathering, or other organized festive occasion:"
affect,verb (used with object), to act on; produce an effect or change in:
affect,verb (used with object), to impress the mind or move the feelings of:
affect,verb (used with object)," (of pain, disease, etc.) to attack or lay hold of."
affect,verb (used with object), Psychology. feeling or emotion.
affect,verb (used with object), Psychiatry. an expressed or observed emotional response:
affect,verb (used with object), Obsolete. affection; passion; sensation; inclination; inward disposition or feeling.
affect,verb (used with object), to give the appearance of; pretend or feign:
affect,verb (used with object)," to assume artificially, pretentiously, or for effect:"
affect,verb (used with object)," to use, wear, or adopt by preference; choose; prefer:"
affect,verb (used with object), to assume the character or attitude of:
affect,verb (used with object), (of things) to tend toward habitually or naturally:
affect,verb (used with object), (of animals and plants) to occupy or inhabit; live in or on:
affect,verb (used with object), Archaic. 
affect,verb (used with object)," Obsolete. to incline, tend, or favor (usually followed by to ):"
afford,verb (used with object)," to be able to do, manage, or bear without serious consequence or adverse effect:"
afford,verb (used with object), to be able to meet the expense of; have or be able to spare the price of:
afford,verb (used with object), to be able to give or spare:
afford,verb (used with object), to furnish; supply:
afford,verb (used with object), to be capable of yielding or providing:
afford,verb (used with object), to give or confer upon:
afraid,adjective, feeling fear; filled with apprehension:
afraid,adjective," feeling regret, unhappiness, or the like:"
